ticker,month,open,close,low,high,volume,fiscal_year,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,Earnings Per Share,Estimated Shares Outstanding,has_eps
AAL,2012-01,6.3085,6.4159999999999995,6.1945,6.565,185238100.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
AAL,2012-02,8.55,8.4845,8.285,8.75,180522000.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
AAL,2012-03,7.329090909090909,7.337272727272727,7.163181818181818,7.528181818181818,157353600.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
AAL,2012-04,8.446,8.5545,8.295,8.733,182375100.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
AAL,2012-05,11.067272727272726,11.184545454545455,10.857727272727272,11.402272727272727,187875000.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
AAL,2012-06,12.406666666666668,12.39809523809524,12.063333333333333,12.78047619047619,194296500.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
AAL,2012-07,12.986666666666668,12.868571428571428,12.569047619047618,13.25095238095238,196980100.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
AAL,2012-08,10.638260869565217,10.57304347826087,10.385217391304348,10.886086956521739,172003900.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
AAL,2012-09,10.927894736842106,10.93421052631579,10.68421052631579,11.20157894736842,138223400.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
AAL,2012-10,11.556190476190476,11.606666666666667,11.344285714285714,11.832857142857144,119547300.0,2012,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,4695000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,0.0,223000000.0,1001000000.0,-1813000000.0,-2445000000.0,0.0,0.0,13402000000.0,0.0,58.0,14356000000.0,-569000000.0,869000000.0,632000000.0,580000000.0,306000000.0,473000000.0,7116000000.0,0.0,0.0,0.0,-1020000000.0,197000000.0,1285000000.0,483000000.0,-1571000000.0,-1876000000.0,2050000000.0,-1876000000.0,-4084000000.0,1124000000.0,386000000.0,148000000.0,1.0,2167000000.0,626000000.0,4524000000.0,-2980000000.0,1509000000.0,11000000.0,15147000000.0,-141000000.0,845000000.0,10.0,31.0,8.0,72.0,0.0,-9462000000.0,0.0,12977000000.0,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000.0,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,-5.6,335000000.0,True
