ticker,month,open,close,low,high,volume,fiscal_year,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,Earnings Per Share,Estimated Shares Outstanding,has_eps
AAPL,2013-01,71.44047619720952,71.11748303395714,70.42428552376191,72.05823116999524,3280855900.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
AAPL,2013-02,65.50052663151052,65.25842186458948,64.58661712023684,66.17586518788421,2336008500.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
AAPL,2013-03,63.14450072137,63.120142549935,62.47685757138,63.829070671370005,2294219200.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
AAPL,2013-04,59.966687818136364,59.966428240195455,59.24603895448636,60.793311545395454,2740872400.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
AAPL,2013-05,63.77155841552727,63.77896137007272,63.07077912330454,64.52259774019545,2361882600.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
AAPL,2013-06,61.13742865708,60.791142657075,60.29328595708999,61.61007155708499,1754634000.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
AAPL,2013-07,61.179610175254545,61.3081817597,60.70097419475,61.81149326617728,1634528700.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
AAPL,2013-08,69.15136372071363,69.26337640903637,68.62097409732728,69.90279179863181,2014584600.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
AAPL,2013-09,68.96749992136999,68.597785564215,68.12307072851,69.41535680707,2157735300.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
AAPL,2013-10,72.02124254030869,72.10639755272175,71.36322983844347,72.67527903098696,1959433000.0,2013,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,0.0,93.0,14259000000.0,-973000000.0,19764000000.0,106606000000.0,168.0,0.0,2625000000.0,6757000000.0,50155000000.0,50155000000.0,0.0,0.0,16597000000.0,1577000000.0,38.0,64304000000.0,13118000000.0,4179000000.0,0.0,1764000000.0,-24042000000.0,8320000000.0,16960000000.0,106215000000.0,0.0,0.0,16896000000.0,3513000000.0,53666000000.0,-16379000000.0,-33774000000.0,37037000000.0,3394000000.0,37037000000.0,37037000000.0,24094000000.0,0.0,48999000000.0,29.0,5146000000.0,6882000000.0,7435000000.0,-471000000.0,-1082000000.0,-1567000000.0,20208000000.0,1080000000.0,0.0,29.0,41.0,22.0,164.0,4475000000.0,104256000000.0,-22330000000.0,10830000000.0,0.0,26287000000.0,207000000000.0,73286000000.0,43658000000.0,123549000000.0,83451000000.0,207000000000.0,170910000000.0,0.0,40.03,925231076.692,True
